#GPIO pin reference

GPIO NAME		GPIO PIN
--------------------------------
TEGRA_GPIO_INVALID	-1
TEGRA_GPIO_PA0		0
TEGRA_GPIO_PA1		1
TEGRA_GPIO_PA2		2
TEGRA_GPIO_PA3		3
TEGRA_GPIO_PA4		4
TEGRA_GPIO_PA5		5
TEGRA_GPIO_PA6		6
TEGRA_GPIO_PA7		7
TEGRA_GPIO_PB0		8
TEGRA_GPIO_PB1		9
TEGRA_GPIO_PB2		10
TEGRA_GPIO_PB3		11
TEGRA_GPIO_PB4		12
TEGRA_GPIO_PB5		13
TEGRA_GPIO_PB6		14
TEGRA_GPIO_PB7		15
TEGRA_GPIO_PC0		16
TEGRA_GPIO_PC1		17
TEGRA_GPIO_PC2		18
TEGRA_GPIO_PC3		19
TEGRA_GPIO_PC4		20
TEGRA_GPIO_PC5		21
TEGRA_GPIO_PC6		22
TEGRA_GPIO_PC7		23
TEGRA_GPIO_PD0		24
TEGRA_GPIO_PD1		25
TEGRA_GPIO_PD2		26
TEGRA_GPIO_PD3		27
TEGRA_GPIO_PD4		28
TEGRA_GPIO_PD5		29
TEGRA_GPIO_PD6		30
TEGRA_GPIO_PD7		31
TEGRA_GPIO_PE0		32
TEGRA_GPIO_PE1		33
TEGRA_GPIO_PE2		34
TEGRA_GPIO_PE3		35
TEGRA_GPIO_PE4		36
TEGRA_GPIO_PE5		37
TEGRA_GPIO_PE6		38
TEGRA_GPIO_PE7		39
TEGRA_GPIO_PF0		40
TEGRA_GPIO_PF1		41
TEGRA_GPIO_PF2		42
TEGRA_GPIO_PF3		43
TEGRA_GPIO_PF4		44
TEGRA_GPIO_PF5		45
TEGRA_GPIO_PF6		46
TEGRA_GPIO_PF7		47
TEGRA_GPIO_PG0		48
TEGRA_GPIO_PG1		49
TEGRA_GPIO_PG2		50
TEGRA_GPIO_PG3		51
TEGRA_GPIO_PG4		52
TEGRA_GPIO_PG5		53
TEGRA_GPIO_PG6		54
TEGRA_GPIO_PG7		55
TEGRA_GPIO_PH0		56
TEGRA_GPIO_PH1		57
TEGRA_GPIO_PH2		58
TEGRA_GPIO_PH3		59
TEGRA_GPIO_PH4		60
TEGRA_GPIO_PH5		61
TEGRA_GPIO_PH6		62
TEGRA_GPIO_PH7		63
TEGRA_GPIO_PI0		64
TEGRA_GPIO_PI1		65
TEGRA_GPIO_PI2		66
TEGRA_GPIO_PI3		67
TEGRA_GPIO_PI4		68
TEGRA_GPIO_PI5		69
TEGRA_GPIO_PI6		70
TEGRA_GPIO_PI7		71
TEGRA_GPIO_PJ0		72
TEGRA_GPIO_PJ1		73
TEGRA_GPIO_PJ2		74
TEGRA_GPIO_PJ3		75
TEGRA_GPIO_PJ4		76
TEGRA_GPIO_PJ5		77
TEGRA_GPIO_PJ6		78
TEGRA_GPIO_PJ7		79
TEGRA_GPIO_PK0		80
TEGRA_GPIO_PK1		81
TEGRA_GPIO_PK2		82
TEGRA_GPIO_PK3		83
TEGRA_GPIO_PK4		84
TEGRA_GPIO_PK5		85
TEGRA_GPIO_PK6		86
TEGRA_GPIO_PK7		87
TEGRA_GPIO_PL0		88
TEGRA_GPIO_PL1		89
TEGRA_GPIO_PL2		90
TEGRA_GPIO_PL3		91
TEGRA_GPIO_PL4		92
TEGRA_GPIO_PL5		93
TEGRA_GPIO_PL6		94
TEGRA_GPIO_PL7		95
TEGRA_GPIO_PM0		96
TEGRA_GPIO_PM1		97
TEGRA_GPIO_PM2		98
TEGRA_GPIO_PM3		99
TEGRA_GPIO_PM4		100
TEGRA_GPIO_PM5		101
TEGRA_GPIO_PM6		102
TEGRA_GPIO_PM7		103
TEGRA_GPIO_PN0		104
TEGRA_GPIO_PN1		105
TEGRA_GPIO_PN2		106
TEGRA_GPIO_PN3		107
TEGRA_GPIO_PN4		108
TEGRA_GPIO_PN5		109
TEGRA_GPIO_PN6		110
TEGRA_GPIO_PN7		111
TEGRA_GPIO_PO0		112
TEGRA_GPIO_PO1		113
TEGRA_GPIO_PO2		114
TEGRA_GPIO_PO3		115
TEGRA_GPIO_PO4		116
TEGRA_GPIO_PO5		117
